number, frequency
 1, 146
 2, 124
 3, 139
 4, 152
 5, 151
 6, 132
 7, 142
 8, 132
 9, 131
10, 150
11, 141
12, 140
13, 135
14, 147
15, 153
16, 137
17, 151
18, 121
19, 157
20, 146
21, 146
22, 116
23, 162
24, 136
25, 147
26, 146
27, 152
28, 136
29, 146
30, 148
31, 133
32, 131
33, 114
34, 130
35, 131
36, 127
37, 154
38, 152
39, 143
40, 129
41, 122
42, 154
43, 136
44, 160
45, 145
46, 114
47, 118
48, 126
49, 140
50, 159
