number, frequency
1, 42
2, 52
3, 47
4, 51
5, 48
6, 41
7, 50
8, 61
9, 41
10, 48
11, 56
12, 44
13, 42
14, 53
15, 42
16, 49
17, 48
18, 46
19, 55
20, 54
21, 40
22, 49
23, 51
24, 36
25, 52
26, 52
27, 51
28, 39
29, 53
30, 48
31, 53
32, 51
33, 36
34, 52
35, 56
36, 54
37, 51
38, 53
39, 52
40, 57
41, 57
42, 60
43, 49
44, 46
45, 56
46, 54
47, 54
48, 38
49, 46
50, 40
51, 49
52, 62
53, 43
54, 64
55, 59
56, 50
57, 43
58, 62
59, 52
