number, frequency
1, 41
2, 49
3, 46
4, 50
5, 47
6, 39
7, 49
8, 60
9, 40
10, 47
11, 55
12, 42
13, 42
14, 52
15, 42
16, 49
17, 47
18, 46
19, 53
20, 53
21, 39
22, 49
23, 50
24, 36
25, 52
26, 51
27, 51
28, 39
29, 53
30, 48
31, 53
32, 50
33, 33
34, 51
35, 53
36, 54
37, 51
38, 52
39, 51
40, 56
41, 57
42, 60
43, 49
44, 46
45, 56
46, 54
47, 54
48, 37
49, 46
50, 39
51, 47
52, 62
53, 43
54, 63
55, 58
56, 50
57, 42
58, 62
59, 52
