number, frequency
1, 234
2, 241
3, 249
4, 248
5, 246
6, 256
7, 250
8, 239
9, 267
10, 258
11, 269
12, 252
13, 215
14, 245
15, 238
16, 223
17, 257
18, 258
19, 251
20, 215
21, 228
22, 252
23, 282
24, 260
25, 269
26, 242
27, 266
28, 254
29, 250
30, 274
31, 268
32, 249
33, 277
34, 249
35, 267
36, 239
37, 230
38, 275
39, 268
40, 279
41, 232
42, 253
43, 267
44, 274
45, 247
46, 240
47, 263
48, 261
49, 264
